ID	TEXT
song1-01	In the year of 2525
song1-02	If man is still alive
song1-03	If woman can survive
song1-04	They may find
song1-05	In the year of 3535
song1-06	"Can't tell the truth, can't tell no lie"
song1-07	"Everything you think, do and say"
song1-08	Is in the pill you took today
song1-09	In the year of 4545
song1-10	"Won't need no teeth, won't need your eyes"
song1-11	Won't find a thing to do
song1-12	Nobody's gonna look at you
song1-13	In the year of 5555
song1-14	Your arms are hanging limp at your side
song1-15	Your legs have nothing to do
song1-16	Some machines doin' that for you
song1-17	In the year of 6565
song1-18	"Won't need no husband, won't need no wife"
song1-19	"You'll pick your sons, pick your daughters too"
song1-20	From the bottom of a long glass tube wouwo
song1-21	In the year of 7510
song1-22	If god is commin' he should make it by then
song1-23	Maybe he'll look around and say:
song1-24	Now it's time for the judgement day!
song1-25	In the year of 8510
song1-26	God is gonna shake his mighty hand
song1-27	He'll leave a salient place where man has been
song1-28	Or tear it down and start again wouwo
song1-29	In the year of 9595
song1-30	I'm wondering if man is gonna be alive
song1-31	He's taken everything earth had to give
song1-32	And he's put back nothing wouwo
song1-33	Now it's been 10.000 years man has cried a million tears
song1-34	For what he never knew now man's dream is through
song1-35	But through eternal light the twinklin' of starlight
song1-36	So very faw away now it's night to yesterday
song2-01	When I look into your eyes
song2-02	I can see a love restrained
song2-03	But darlin' when I hold you
song2-04	Don't you know I feel the same
song2-05	Cause nothin' lasts forever
song2-06	And we both know hearts can change
song2-07	And it's hard to hold a candle
song2-08	In the cold November rain
song2-09	We've been through this such a long long time
song2-10	Just tryin' to kill the pain
song2-11	But lovers always come and lovers always go
song2-12	An no one's really sure who's lettin' go today
song2-13	Walking away
song2-14	If we could take the time
song2-15	to lay it on the line
song2-16	I could rest my head
song2-17	Just knowin' that you were mine
song2-18	All mine
song2-19	So if you want to love me
song2-20	then darlin' don't refrain
song2-21	Or I'll just end up walkin'
song2-22	In the cold November rain
song2-23	Do you need some time...on your own
song2-24	Do you need some time...all alone
song2-25	Everybody needs some time...
song2-26	on their own
song2-27	Don't you know you need some time...all alone
song2-28	I know it's hard to keep an open heart
song2-29	When even friends seem out to harm you
song2-30	But if you could heal a broken heart
song2-31	Wouldn't time be out to charm you
song2-32	Sometimes I need some time…
song2-33	on my own
song2-34	Sometimes I need some time...all alone
song2-35	Everybody needs some time...
song2-36	on their own
song2-37	Don't you know you need some time...all alone
song2-38	And when your fears subside
song2-39	And shadows still remain
song2-40	I know that you can love me
song2-41	When there's no one left to blame
song2-42	So never mind the darkness
song2-43	We still can find a way
song2-44	Cause nothin' lasts forever
song2-45	Even cold November rain
song2-46	Don't ya think that you need somebody
song2-47	Don't ya think that you need someone
song2-48	Everybody needs somebody
song2-49	You're not the only one
song2-50	You're not the only one
song3-01	"My radio, believe me, I like it loud"
song3-02	I'm the man with a box that can rock the crowd
song3-03	"Walkin' down the street, to the hardcore beat"
song3-04	While my JVC vibrates the concrete
song3-05	I'm sorry if you can't understand
song3-06	But I need a radio inside my hand
song3-07	Don't mean to offend other citizens
song3-08	But I kick my volume way past 10
song3-09	"My story is rough, my neighbourhood is tough"
song3-10	"But I still sport gold, and I'm out to crush"
song3-11	"My name is Cool J, I devastate the show"
song3-12	But I couldn't survive without my radio
song3-13	Terrorising my neighbours with the heavy bass
song3-14	I keep the suckas in fear by the look on my face
song3-15	My radio's bad from the Boulevard
song3-16	I'm a hip-hop gangster and my name is Todd
song3-17	"Just stimulated by the beat, bust out the rhyme"
song3-18	Get fresh batteries if it won't rewind
song3-19	"Cos I play everyday, even on the subway"
song3-20	I woulda got a summons but I ran away
song3-21	"I'm the leader of the show, keepin' you on the go"
song3-22	But I know I can't live without my radio
song3-23	Suckas on my jock when I walk down the block
song3-24	I really don't care if you're jealous or not
song3-25	"Cos I make the songs, you sing along"
song3-26	And your radio's def when my record's on
song3-27	"So get off the wall, become involved"
song3-28	All your radio problems have now been solved
song3-29	My treacherous beats make ya ears respond
song3-30	And my radio's loud like a fire alarm
song3-31	"The floor vibrates, the walls cave in"
song3-32	The bass makes my eardrums seem thin
song3-33	"Def sounds in my ride, yes the front and back"
song3-34	"You would think it was a party, not a Cadillac"
song3-35	"Cos I drive up to the ave, with the windows closed"
song3-36	"And my bass is so loud, it could rip your clothes"
song3-37	My stereo's thumpin' like a savage beast
song3-38	The level on my power meter will not decrease
song3-39	"Suckas get mad, cos the girlies scream"
song3-40	And I'm still gettin' paid while you look at me mean
song3-41	"I'm the leader of the show, keepin' you on the go"
song3-42	But I know I can't live without my radio
song3-43	"I'm the leader of the show, keepin' you on the go"
song3-44	And I know I can't live without my radio
song3-45	"Don't touch that dial, I'll be upset"
song3-46	Might go into a fit and rip off your neck
song3-47	Cos the radio's thumpin' when I'm down to play
song3-48	I'm the royal chief rocker LL Cool J
song3-49	Let your big butt bounce from right to left
song3-50	Cos it's a actual fact this jam is def
song3-51	Most definitely created by me
song3-52	Goin' down in radio history
song3-53	I'm good to go on your radio
song3-54	And I'm cold gettin' paid cos Rick said so
song3-55	Make the woofers wallop and your tweeters twitch
song3-56	Some jealous knuckleheads might try to dis
song3-57	"But it's nuthin', ya frontin', ya girl I am stuntin'"
song3-58	And my radio's loud enough to keep you gruntin'
song3-59	"My name is Cool J, I'm from the rock"
song3-60	Circulating through your radio non-stop
song3-61	I'm lookin' at the wires behind the cassette
