ID	TEXT	ANN1	ANN2	ANN1 (neutral)	ANN2 (neutral)	ANN1 (anger)	ANN2 (anger)	ANN1 (disgust)	ANN2 (disgust)	ANN1 (fear)	ANN2 (fear)	ANN1 (joy)	ANN2 (joy)	ANN1 (sadness)	ANN2 (sadness)	ANN1 (surprise)	ANN2 (surprise)
song1-01	In the year of 2525	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-02	If man is still alive	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-03	If woman can survive	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-04	They may find	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-05	In the year of 3535	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-06	"Can't tell the truth, can't tell no lie"	fear	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-07	"Everything you think, do and say"	fear	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	fear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-08	Is in the pill you took today	fear	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-09	In the year of 4545	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-10	"Won't need no teeth, won't need your eyes"	disgust	fear	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-11	Won't find a thing to do	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-12	Nobody's gonna look at you	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-13	In the year of 5555	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-14	Your arms are hanging limp at your side	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-15	Your legs have nothing to do	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-16	Some machines doin' that for you	disgust	neutral	noneutral	neutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-17	In the year of 6565	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-18	"Won't need no husband, won't need no wife"	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song1-19	"You'll pick your sons, pick your daughters too"	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song1-20	From the bottom of a long glass tube wouwo	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-21	In the year of 7510	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-22	If god is commin' he should make it by then	sadness	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song1-23	Maybe he'll look around and say:	neutral	fear	neutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-24	Now it's time for the judgement day!	anger	fear	noneutral	noneutral	anger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-25	In the year of 8510	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
